Sales Person,Product,Country,Date,Amount,Boxes,Order Status
Van Tuxwell,Raspberry Choco,USA,08-May-23,12429,2072,Delivered
Wilone O'Kielt,99% Dark & Pure,Canada,08-May-23,7431.75,372,Delivered
Husein Augar,Raspberry Choco,USA,09-May-23,4198.5,467,Delivered
Ches Bonnell,Milk Bars,UK,09-May-23,3728.25,197,Delivered
Beverie Moffet,99% Dark & Pure,Canada,09-May-23,10633.5,484,Delivered
Ches Bonnell,Spicy Special Slims,USA,09-May-23,4871.25,305,Delivered
Marney O'Breen,Almond Choco,Canada,09-May-23,5368.5,537,Delivered
Van Tuxwell,Almond Choco,USA,09-May-23,6851.25,623,Delivered
Van Tuxwell,Smooth Silky Salty,Canada,10-May-23,7944.75,1135,Delivered
Husein Augar,70% Dark Bites,UK,10-May-23,537.75,34,Delivered
Gunar Cockshoot,Choco Coated Almonds,New Zealand,10-May-23,10433.25,803,Delivered
Ches Bonnell,50% Dark Bites,USA,10-May-23,12694.5,605,Delivered
Ches Bonnell,Raspberry Choco,Australia,10-May-23,7674.75,853,Delivered
Dotty Strutley,Peanut Butter Cubes,USA,10-May-23,7600.5,381,Delivered
Roddy Speechley,Spicy Special Slims,USA,10-May-23,1350,72,Delivered
Kelci Walkden,70% Dark Bites,India,10-May-23,4873.5,325,Delivered
Kelci Walkden,85% Dark Bars,UK,10-May-23,1687.5,65,Delivered
Beverie Moffet,Smooth Silky Salty,Australia,11-May-23,5897.25,843,Delivered
Husein Augar,Fruit & Nut Bars,Canada,11-May-23,4794.75,200,Delivered
Dennison Crosswaite,Choco Coated Almonds,Australia,11-May-23,5064.75,390,Delivered
Gigi Bohling,85% Dark Bars,USA,11-May-23,5087.25,212,Delivered
Jehu Rudeforth,Eclairs,USA,12-May-23,886.5,47,Delivered
Madelene Upcott,Milk Bars,Canada,12-May-23,105.75,6,Delivered
Jehu Rudeforth,Drinking Coco,New Zealand,12-May-23,5994,545,Delivered
Husein Augar,Baker's Choco Chips,UK,12-May-23,3795.75,190,Delivered
Karlen McCaffrey,Fruit & Nut Bars,UK,12-May-23,7263,291,Delivered
Marney O'Breen,Raspberry Choco,UK,12-May-23,1120.5,161,Delivered
Kelci Walkden,After Nines,USA,12-May-23,3210.75,292,Delivered
Curtice Advani,Choco Coated Almonds,Canada,12-May-23,2511,194,Delivered
Ches Bonnell,85% Dark Bars,India,12-May-23,2124,93,Delivered
Wilone O'Kielt,Mint Chip Choco,USA,12-May-23,3458.25,315,Delivered
Oby Sorrel,Mint Chip Choco,India,12-May-23,4043.25,368,Delivered
Curtice Advani,Orange Choco,USA,12-May-23,5404.5,492,Delivered
Wilone O'Kielt,Drinking Coco,USA,12-May-23,4614.75,355,Delivered
Curtice Advani,Orange Choco,USA,12-May-23,6086.25,870,Delivered
Rafaelita Blaksland,Choco Coated Almonds,USA,12-May-23,3564,275,Delivered
Brien Boise,50% Dark Bites,USA,12-May-23,8617.5,431,Delivered
Kaine Padly,Spicy Special Slims,New Zealand,12-May-23,4137.75,230,Delivered
Dennison Crosswaite,99% Dark & Pure,Australia,12-May-23,4360.5,208,Delivered
Marney O'Breen,Milk Bars,USA,15-May-23,5598,311,Delivered
Jehu Rudeforth,Peanut Butter Cubes,Canada,15-May-23,4158,181,Delivered
Kelci Walkden,99% Dark & Pure,India,16-May-23,8847,466,Delivered
Gigi Bohling,Peanut Butter Cubes,Australia,16-May-23,5854.5,279,Delivered
Ches Bonnell,Smooth Silky Salty,Canada,16-May-23,8507.25,1064,Delivered
Dotty Strutley,99% Dark & Pure,India,16-May-23,8658,433,Delivered
Dotty Strutley,Baker's Choco Chips,UK,16-May-23,14242.5,838,Delivered
Gunar Cockshoot,Organic Choco Syrup,UK,16-May-23,8037,423,Delivered
Barr Faughny,Mint Chip Choco,UK,16-May-23,3208.5,268,Delivered
Beverie Moffet,Eclairs,India,16-May-23,4659.75,233,Delivered
Ches Bonnell,Caramel Stuffed Bars,UK,16-May-23,1581.75,94,Delivered
Rafaelita Blaksland,Smooth Silky Salty,India,16-May-23,2859.75,318,Delivered
Husein Augar,Baker's Choco Chips,Australia,16-May-23,4754.25,317,Delivered
Madelene Upcott,After Nines,Australia,16-May-23,7587,690,Delivered
Curtice Advani,Organic Choco Syrup,UK,16-May-23,3984.75,200,Delivered
Husein Augar,Fruit & Nut Bars,UK,16-May-23,3388.5,142,Delivered
Beverie Moffet,Choco Coated Almonds,UK,17-May-23,4214.25,325,Delivered
Rafaelita Blaksland,Fruit & Nut Bars,USA,17-May-23,5724,239,Delivered
Kelci Walkden,Mint Chip Choco,India,17-May-23,2085.75,232,Delivered
Gigi Bohling,Peanut Butter Cubes,India,17-May-23,6988.5,318,Delivered
Jehu Rudeforth,Organic Choco Syrup,Canada,17-May-23,11655,614,Delivered
Dotty Strutley,99% Dark & Pure,UK,17-May-23,15070.5,656,Delivered
Barr Faughny,Mint Chip Choco,USA,17-May-23,1028.25,103,Delivered
Andria Kimpton,99% Dark & Pure,USA,17-May-23,10473.75,524,Delivered
Brien Boise,50% Dark Bites,India,18-May-23,4581,209,Delivered
Dennison Crosswaite,Caramel Stuffed Bars,Canada,18-May-23,207,12,Delivered
Gigi Bohling,Mint Chip Choco,India,18-May-23,344.25,35,Delivered
Kelci Walkden,Eclairs,Canada,18-May-23,4392,191,Delivered
Oby Sorrel,70% Dark Bites,UK,18-May-23,5377.5,317,Delivered
Marney O'Breen,50% Dark Bites,Australia,18-May-23,78.75,5,Delivered
Kelci Walkden,Mint Chip Choco,India,18-May-23,7404.75,570,Delivered
Madelene Upcott,70% Dark Bites,India,18-May-23,11376,711,Delivered
Husein Augar,Manuka Honey Choco,USA,18-May-23,6176.25,309,Delivered
Curtice Advani,99% Dark & Pure,UK,18-May-23,7926.75,397,Delivered
Brien Boise,Fruit & Nut Bars,UK,18-May-23,8185.5,293,Delivered
Gigi Bohling,Mint Chip Choco,USA,18-May-23,3152.25,243,Delivered
Rafaelita Blaksland,Spicy Special Slims,USA,18-May-23,5512.5,307,Delivered
Gunar Cockshoot,Organic Choco Syrup,UK,18-May-23,5467.5,238,Delivered
Madelene Upcott,99% Dark & Pure,UK,18-May-23,4594.5,242,Delivered
Dotty Strutley,99% Dark & Pure,UK,18-May-23,5517,276,Delivered
Marney O'Breen,Peanut Butter Cubes,Australia,18-May-23,7263,331,Delivered
Marney O'Breen,Almond Choco,New Zealand,18-May-23,6795,567,Delivered
Ches Bonnell,Eclairs,Australia,18-May-23,1102.5,56,Delivered
Oby Sorrel,Spicy Special Slims,New Zealand,18-May-23,14568.75,911,Delivered
Andria Kimpton,Mint Chip Choco,India,18-May-23,4385.25,439,Delivered
Andria Kimpton,Eclairs,Canada,18-May-23,2184.75,115,Delivered
Roddy Speechley,Mint Chip Choco,UK,18-May-23,627.75,70,Delivered
Wilone O'Kielt,Manuka Honey Choco,Canada,19-May-23,7616.25,381,Delivered
Wilone O'Kielt,Choco Coated Almonds,USA,19-May-23,2855.25,220,Delivered
Roddy Speechley,Raspberry Choco,USA,19-May-23,11538,1443,Delivered
Madelene Upcott,50% Dark Bites,USA,19-May-23,4502.25,251,Delivered
Andria Kimpton,Choco Coated Almonds,Australia,19-May-23,634.5,46,Delivered
Dotty Strutley,Manuka Honey Choco,Canada,19-May-23,5926.5,283,Delivered
Madelene Upcott,Fruit & Nut Bars,India,19-May-23,12647.25,469,Delivered
Kaine Padly,Spicy Special Slims,Australia,19-May-23,5544,327,Delivered
Roddy Speechley,Organic Choco Syrup,UK,19-May-23,1444.5,66,Delivered
Jehu Rudeforth,Drinking Coco,Canada,19-May-23,3694.5,462,Cancelled
Roddy Speechley,Almond Choco,Australia,19-May-23,434.25,40,Delivered
Husein Augar,99% Dark & Pure,Australia,19-May-23,9524.25,415,Delivered
Gunar Cockshoot,Eclairs,India,19-May-23,720,33,Delivered
Oby Sorrel,Caramel Stuffed Bars,New Zealand,19-May-23,21456,976,Delivered
Oby Sorrel,Milk Bars,Canada,19-May-23,2468.25,124,Cancelled
Jehu Rudeforth,Organic Choco Syrup,UK,19-May-23,10131.75,461,Delivered
Brien Boise,Smooth Silky Salty,USA,19-May-23,10359,942,Delivered
Curtice Advani,Baker's Choco Chips,India,19-May-23,3946.5,198,Delivered
Rafaelita Blaksland,70% Dark Bites,Australia,19-May-23,6934.5,463,Cancelled
Wilone O'Kielt,Spicy Special Slims,Australia,19-May-23,22.5,2,Delivered
Marney O'Breen,Mint Chip Choco,UK,22-May-23,8111.25,676,Delivered
Gigi Bohling,Raspberry Choco,New Zealand,22-May-23,186.75,24,Delivered
Rafaelita Blaksland,70% Dark Bites,USA,22-May-23,4621.5,244,Delivered
Dennison Crosswaite,Smooth Silky Salty,India,22-May-23,10039.5,1004,Delivered
Rafaelita Blaksland,Spicy Special Slims,Australia,22-May-23,3775.5,210,Delivered
Mallorie Waber,Eclairs,USA,22-May-23,7247.25,346,Delivered
Barr Faughny,85% Dark Bars,Canada,22-May-23,7071.75,295,Delivered
Curtice Advani,Drinking Coco,India,22-May-23,5703.75,713,Delivered
Roddy Speechley,Organic Choco Syrup,India,22-May-23,5296.5,265,Delivered
Andria Kimpton,Eclairs,Canada,23-May-23,272.25,13,Delivered
Brien Boise,White Choc,India,23-May-23,8529.75,356,Delivered
Andria Kimpton,Baker's Choco Chips,USA,23-May-23,3285,219,Delivered
Roddy Speechley,Orange Choco,UK,23-May-23,5357.25,536,Delivered
Madelene Upcott,85% Dark Bars,India,23-May-23,3300.75,127,Delivered
Brien Boise,Baker's Choco Chips,India,23-May-23,3894.75,244,Delivered
Curtice Advani,99% Dark & Pure,New Zealand,23-May-23,5991.75,261,Delivered
Rafaelita Blaksland,Choco Coated Almonds,Australia,23-May-23,5467.5,498,Delivered
Oby Sorrel,Drinking Coco,USA,23-May-23,6734.25,674,Delivered
Dotty Strutley,Eclairs,New Zealand,23-May-23,4531.5,252,Delivered
Brien Boise,Mint Chip Choco,India,23-May-23,5755.5,524,Delivered
Jehu Rudeforth,Orange Choco,India,23-May-23,8412.75,1202,Delivered
Beverie Moffet,Raspberry Choco,UK,23-May-23,6036.75,863,Delivered
Dotty Strutley,Eclairs,UK,23-May-23,3777.75,189,Delivered
Curtice Advani,Raspberry Choco,New Zealand,23-May-23,7040.25,1006,Delivered
Jehu Rudeforth,After Nines,USA,24-May-23,9519.75,794,Delivered
Dotty Strutley,Peanut Butter Cubes,India,24-May-23,4630.5,202,Delivered
Dennison Crosswaite,Baker's Choco Chips,UK,24-May-23,6088.5,305,Delivered
Curtice Advani,Fruit & Nut Bars,USA,24-May-23,6651,256,Cancelled
Curtice Advani,Milk Bars,UK,24-May-23,1300.5,66,Delivered
Brien Boise,Drinking Coco,New Zealand,24-May-23,5451.75,546,Delivered
Madelene Upcott,Raspberry Choco,New Zealand,24-May-23,956.25,160,Delivered
Marney O'Breen,Raspberry Choco,Australia,24-May-23,2443.5,245,Delivered
Ches Bonnell,Mint Chip Choco,USA,25-May-23,1107,111,Delivered
Brien Boise,Baker's Choco Chips,Australia,25-May-23,5908.5,329,Delivered
Jehu Rudeforth,Almond Choco,Canada,25-May-23,1203.75,134,Delivered
Ches Bonnell,Choco Coated Almonds,Australia,26-May-23,3161.25,244,Delivered
Barr Faughny,99% Dark & Pure,Canada,26-May-23,4389.75,183,Delivered
Roddy Speechley,Caramel Stuffed Bars,USA,26-May-23,8685,414,Cancelled
Andria Kimpton,50% Dark Bites,Australia,26-May-23,7506,396,Delivered
Andria Kimpton,70% Dark Bites,UK,26-May-23,920.25,58,Delivered
Roddy Speechley,Spicy Special Slims,India,26-May-23,7229.25,426,Delivered
Andria Kimpton,Caramel Stuffed Bars,USA,26-May-23,15597,780,Delivered
Husein Augar,Manuka Honey Choco,Canada,29-May-23,8113.5,406,Delivered
Dotty Strutley,Baker's Choco Chips,Canada,29-May-23,10334.25,608,Delivered
Jehu Rudeforth,Eclairs,UK,29-May-23,2553.75,135,Delivered
Gigi Bohling,99% Dark & Pure,UK,29-May-23,6399,320,Cancelled
Madelene Upcott,Manuka Honey Choco,USA,29-May-23,3109.5,136,Delivered
Husein Augar,Milk Bars,Canada,29-May-23,162,10,Delivered
Jehu Rudeforth,Raspberry Choco,USA,29-May-23,7710.75,1543,Delivered
Kelci Walkden,Baker's Choco Chips,India,29-May-23,10579.5,557,Delivered
Wilone O'Kielt,Eclairs,USA,29-May-23,5055.75,281,Delivered
Barr Faughny,Mint Chip Choco,New Zealand,29-May-23,6788.25,755,Delivered
Marney O'Breen,Choco Coated Almonds,India,29-May-23,6788.25,618,Delivered
Karlen McCaffrey,Smooth Silky Salty,USA,29-May-23,4331.25,482,Delivered
Camilla Castle,Drinking Coco,USA,29-May-23,5105.25,393,Delivered
Van Tuxwell,Spicy Special Slims,USA,29-May-23,778.5,44,Delivered
Marney O'Breen,Spicy Special Slims,New Zealand,30-May-23,2740.5,138,Delivered
Roddy Speechley,99% Dark & Pure,Australia,30-May-23,5949,298,Delivered
Curtice Advani,70% Dark Bites,USA,30-May-23,2686.5,150,Delivered
Marney O'Breen,70% Dark Bites,Australia,30-May-23,2367,125,Delivered
Andria Kimpton,Baker's Choco Chips,UK,30-May-23,1602,89,Delivered
Roddy Speechley,Raspberry Choco,India,30-May-23,8007.75,1144,Delivered
Gigi Bohling,Choco Coated Almonds,UK,30-May-23,9130.5,703,Delivered
Wilone O'Kielt,Raspberry Choco,UK,30-May-23,1163.25,117,Delivered
Van Tuxwell,50% Dark Bites,USA,30-May-23,4376.25,209,Delivered
Barr Faughny,Raspberry Choco,USA,30-May-23,4954.5,496,Delivered
Jehu Rudeforth,Orange Choco,India,31-May-23,6507,1085,Delivered
Jehu Rudeforth,Eclairs,Australia,31-May-23,3555,170,Delivered
Madelene Upcott,70% Dark Bites,India,31-May-23,7812,434,Cancelled
Marney O'Breen,Baker's Choco Chips,USA,31-May-23,14249.25,750,Delivered
Gigi Bohling,99% Dark & Pure,India,31-May-23,4988.25,263,Delivered
Van Tuxwell,White Choc,UK,31-May-23,4349.25,208,Delivered
Ches Bonnell,Eclairs,UK,31-May-23,2965.5,157,Delivered
Roddy Speechley,Organic Choco Syrup,UK,31-May-23,14492.25,806,Delivered
Marney O'Breen,Milk Bars,New Zealand,31-May-23,8892,494,Delivered
Karlen McCaffrey,Choco Coated Almonds,USA,31-May-23,4250.25,304,Delivered
Kelci Walkden,Choco Coated Almonds,New Zealand,31-May-23,8253,590,Delivered
Marney O'Breen,Mint Chip Choco,Australia,31-May-23,1743.75,159,Delivered
Jan Morforth,Raspberry Choco,UK,31-May-23,6671.25,834,Delivered
Beverie Moffet,Raspberry Choco,UK,31-May-23,3629.25,519,Delivered
Dennison Crosswaite,70% Dark Bites,USA,31-May-23,7908.75,528,Delivered
Husein Augar,Spicy Special Slims,India,01-Jun-23,814.5,55,Delivered
Roddy Speechley,Manuka Honey Choco,UK,01-Jun-23,7785,390,Delivered
Roddy Speechley,Baker's Choco Chips,USA,01-Jun-23,6230.25,328,Delivered
Kelci Walkden,Peanut Butter Cubes,USA,01-Jun-23,5460.75,249,Delivered
Gigi Bohling,Caramel Stuffed Bars,New Zealand,01-Jun-23,6729.75,321,Delivered
Van Tuxwell,Eclairs,Australia,01-Jun-23,825.75,38,Delivered
Wilone O'Kielt,Organic Choco Syrup,New Zealand,01-Jun-23,4943.25,236,Delivered
Gunar Cockshoot,Mint Chip Choco,Canada,01-Jun-23,1019.25,93,Delivered
Gunar Cockshoot,Peanut Butter Cubes,Canada,01-Jun-23,8028,350,Cancelled
Barr Faughny,Drinking Coco,USA,01-Jun-23,6059.25,674,Delivered
Brien Boise,70% Dark Bites,Canada,01-Jun-23,3242.25,171,Delivered
Curtice Advani,Peanut Butter Cubes,India,01-Jun-23,7137,325,Delivered
Roddy Speechley,Peanut Butter Cubes,USA,01-Jun-23,8635.5,455,Delivered
Oby Sorrel,Orange Choco,India,01-Jun-23,3609,452,Delivered
Ches Bonnell,Eclairs,USA,01-Jun-23,2704.5,118,Delivered
Kelci Walkden,Baker's Choco Chips,UK,01-Jun-23,8761.5,487,Delivered
Beverie Moffet,Orange Choco,Canada,02-Jun-23,13356,1215,Delivered
Kelci Walkden,Spicy Special Slims,UK,02-Jun-23,7767,457,Delivered
Karlen McCaffrey,Spicy Special Slims,UK,02-Jun-23,8543.25,450,Delivered
Barr Faughny,Organic Choco Syrup,UK,02-Jun-23,1140.75,64,Delivered
Jan Morforth,White Choc,USA,02-Jun-23,5962.5,272,Delivered
Andria Kimpton,Manuka Honey Choco,UK,02-Jun-23,15912,692,Delivered
Van Tuxwell,Mint Chip Choco,USA,02-Jun-23,2943,211,Delivered
Roddy Speechley,70% Dark Bites,Australia,02-Jun-23,4259.25,213,Delivered
Jehu Rudeforth,99% Dark & Pure,Canada,02-Jun-23,11007,459,Delivered
Barr Faughny,Spicy Special Slims,UK,02-Jun-23,8158.5,454,Delivered
Barr Faughny,85% Dark Bars,Australia,02-Jun-23,3260.25,136,Delivered
Husein Augar,White Choc,USA,02-Jun-23,3471.75,145,Delivered
Dotty Strutley,Raspberry Choco,USA,02-Jun-23,3060,383,Delivered
Oby Sorrel,After Nines,Canada,02-Jun-23,5850,488,Delivered
Roddy Speechley,Drinking Coco,UK,02-Jun-23,5199.75,434,Delivered
Marney O'Breen,Spicy Special Slims,UK,05-Jun-23,6567.75,365,Delivered
Gunar Cockshoot,Orange Choco,USA,05-Jun-23,9144,1524,Delivered
Kelci Walkden,Fruit & Nut Bars,New Zealand,05-Jun-23,4920.75,190,Delivered
Husein Augar,99% Dark & Pure,USA,05-Jun-23,3291.75,138,Delivered
Gunar Cockshoot,Manuka Honey Choco,New Zealand,05-Jun-23,2292.75,121,Delivered
Andria Kimpton,Almond Choco,Australia,05-Jun-23,9463.5,861,Delivered
Karlen McCaffrey,Orange Choco,India,05-Jun-23,760.5,127,Delivered
Madelene Upcott,Fruit & Nut Bars,USA,05-Jun-23,7452,324,Delivered
Marney O'Breen,99% Dark & Pure,Australia,05-Jun-23,5895,246,Delivered
Beverie Moffet,Eclairs,New Zealand,05-Jun-23,960.75,54,Delivered
Karlen McCaffrey,Manuka Honey Choco,New Zealand,05-Jun-23,10460.25,455,Delivered
Karlen McCaffrey,Raspberry Choco,Canada,05-Jun-23,10127.25,1447,Delivered
Gunar Cockshoot,50% Dark Bites,UK,05-Jun-23,3712.5,169,Delivered
Jan Morforth,Peanut Butter Cubes,India,05-Jun-23,4475.25,224,Delivered
Madelene Upcott,Raspberry Choco,USA,06-Jun-23,3003.75,430,Delivered
Gunar Cockshoot,Smooth Silky Salty,USA,06-Jun-23,3588.75,327,Delivered
Mallorie Waber,Drinking Coco,India,07-Jun-23,6392.25,800,Delivered
Husein Augar,Eclairs,Australia,07-Jun-23,924.75,49,Delivered
Dennison Crosswaite,After Nines,UK,07-Jun-23,8196.75,631,Delivered
Jehu Rudeforth,After Nines,India,07-Jun-23,4232.25,326,Delivered
Andria Kimpton,50% Dark Bites,Australia,07-Jun-23,3280.5,193,Delivered
Ches Bonnell,99% Dark & Pure,India,07-Jun-23,3557.25,178,Delivered
Mallorie Waber,Choco Coated Almonds,USA,07-Jun-23,1692,121,Delivered
Jehu Rudeforth,Baker's Choco Chips,UK,07-Jun-23,882,52,Delivered
Roddy Speechley,Milk Bars,Canada,07-Jun-23,2819.25,157,Delivered
Rafaelita Blaksland,Mint Chip Choco,UK,07-Jun-23,4205.25,421,Delivered
Andria Kimpton,Eclairs,Australia,07-Jun-23,4036.5,176,Delivered
Brien Boise,Fruit & Nut Bars,Australia,07-Jun-23,450,17,Delivered
Van Tuxwell,Baker's Choco Chips,UK,07-Jun-23,2013.75,119,Delivered
Roddy Speechley,White Choc,UK,07-Jun-23,3692.25,185,Delivered
Barr Faughny,Peanut Butter Cubes,Australia,07-Jun-23,6696,335,Delivered
Madelene Upcott,Mint Chip Choco,India,07-Jun-23,6507,501,Delivered
Dotty Strutley,85% Dark Bars,Canada,07-Jun-23,5715,220,Delivered
Brien Boise,Eclairs,Australia,07-Jun-23,5350.5,298,Delivered
Brien Boise,Peanut Butter Cubes,India,07-Jun-23,7353,351,Delivered
Andria Kimpton,Fruit & Nut Bars,India,08-Jun-23,11439,440,Delivered
Madelene Upcott,Raspberry Choco,India,08-Jun-23,2673,446,Delivered
Brien Boise,Eclairs,New Zealand,08-Jun-23,3656.25,167,Delivered
Jehu Rudeforth,Drinking Coco,Canada,08-Jun-23,5683.5,711,Delivered
Brien Boise,Baker's Choco Chips,USA,08-Jun-23,1082.25,57,Delivered
Husein Augar,Baker's Choco Chips,Canada,08-Jun-23,14314.5,754,Delivered
Jehu Rudeforth,Eclairs,India,08-Jun-23,4518,206,Delivered
Brien Boise,99% Dark & Pure,UK,08-Jun-23,3901.5,170,Delivered
Jan Morforth,After Nines,USA,08-Jun-23,3908.25,326,Delivered
Madelene Upcott,Mint Chip Choco,Canada,08-Jun-23,3253.5,362,Delivered
Karlen McCaffrey,Raspberry Choco,India,08-Jun-23,1588.5,318,Delivered
Oby Sorrel,99% Dark & Pure,India,08-Jun-23,1291.5,59,Delivered
Karlen McCaffrey,Manuka Honey Choco,Canada,08-Jun-23,3692.25,185,Delivered
Kelci Walkden,99% Dark & Pure,UK,08-Jun-23,6585.75,300,Delivered
Dennison Crosswaite,Organic Choco Syrup,Canada,08-Jun-23,1813.5,91,Delivered
Curtice Advani,Eclairs,Canada,08-Jun-23,3951,180,Delivered
Gunar Cockshoot,Orange Choco,USA,09-Jun-23,8428.5,1405,Delivered
Brien Boise,85% Dark Bars,USA,09-Jun-23,5890.5,246,Delivered
Brien Boise,Manuka Honey Choco,Australia,09-Jun-23,5400,258,Delivered
Dennison Crosswaite,Raspberry Choco,USA,09-Jun-23,1698.75,340,Delivered
Jehu Rudeforth,Milk Bars,India,09-Jun-23,4603.5,210,Delivered
Curtice Advani,Organic Choco Syrup,Australia,09-Jun-23,10496.25,525,Delivered
Kelci Walkden,Orange Choco,New Zealand,09-Jun-23,4671,584,Delivered
Beverie Moffet,Drinking Coco,Canada,09-Jun-23,5532.75,426,Delivered
Madelene Upcott,Choco Coated Almonds,UK,09-Jun-23,5820.75,448,Delivered
Kaine Padly,Organic Choco Syrup,UK,09-Jun-23,5332.5,281,Delivered
Kaine Padly,Milk Bars,UK,09-Jun-23,3717,207,Delivered
Dotty Strutley,99% Dark & Pure,UK,09-Jun-23,11403,519,Delivered
Gunar Cockshoot,Caramel Stuffed Bars,USA,09-Jun-23,9929.25,552,Delivered
Brien Boise,50% Dark Bites,Australia,09-Jun-23,6165,309,Delivered
Oby Sorrel,99% Dark & Pure,Canada,09-Jun-23,12843,676,Delivered
Oby Sorrel,Eclairs,USA,09-Jun-23,2495.25,125,Delivered
Marney O'Breen,Organic Choco Syrup,New Zealand,09-Jun-23,3098.25,173,Delivered
Husein Augar,50% Dark Bites,USA,12-Jun-23,1914.75,88,Delivered
Brien Boise,Organic Choco Syrup,UK,12-Jun-23,9054,453,Delivered
Gunar Cockshoot,Drinking Coco,USA,12-Jun-23,4504.5,564,Delivered
Dennison Crosswaite,Organic Choco Syrup,UK,12-Jun-23,5685.75,300,Delivered
Dennison Crosswaite,Spicy Special Slims,New Zealand,12-Jun-23,12105,757,Delivered
Curtice Advani,Eclairs,USA,12-Jun-23,4720.5,237,Delivered
Husein Augar,Baker's Choco Chips,Australia,12-Jun-23,1219.5,68,Delivered
Wilone O'Kielt,Eclairs,Australia,13-Jun-23,198,10,Delivered
Ches Bonnell,After Nines,USA,13-Jun-23,7951.5,568,Delivered
Roddy Speechley,Manuka Honey Choco,India,13-Jun-23,8536.5,427,Delivered
Madelene Upcott,Caramel Stuffed Bars,UK,13-Jun-23,8862.75,467,Delivered
Roddy Speechley,Choco Coated Almonds,USA,13-Jun-23,4801.5,321,Delivered
Oby Sorrel,Orange Choco,Australia,13-Jun-23,2016,202,Delivered
Brien Boise,Baker's Choco Chips,New Zealand,13-Jun-23,7728.75,430,Delivered
Wilone O'Kielt,Manuka Honey Choco,UK,13-Jun-23,3120.75,136,Delivered
Gunar Cockshoot,Smooth Silky Salty,UK,13-Jun-23,13263.75,1206,Delivered
Camilla Castle,Mint Chip Choco,UK,13-Jun-23,1820.25,203,Delivered
Wilone O'Kielt,Eclairs,Australia,13-Jun-23,2873.25,125,Delivered
Oby Sorrel,Orange Choco,USA,13-Jun-23,9177.75,835,Delivered
Andria Kimpton,Eclairs,UK,14-Jun-23,1156.5,56,Delivered
Kelci Walkden,Eclairs,UK,14-Jun-23,5316.75,266,Delivered
Ches Bonnell,Eclairs,UK,14-Jun-23,679.5,38,Delivered
Wilone O'Kielt,Peanut Butter Cubes,Canada,14-Jun-23,4065.75,204,Delivered
Roddy Speechley,Organic Choco Syrup,India,14-Jun-23,6804,341,Delivered
Dennison Crosswaite,99% Dark & Pure,USA,14-Jun-23,18434.25,769,Delivered
Jehu Rudeforth,Fruit & Nut Bars,USA,14-Jun-23,6779.25,252,Delivered
Madelene Upcott,White Choc,USA,14-Jun-23,4308.75,180,Delivered
Ches Bonnell,Mint Chip Choco,USA,14-Jun-23,4313.25,360,Delivered
Kelci Walkden,Organic Choco Syrup,New Zealand,14-Jun-23,5208.75,249,Delivered
Jehu Rudeforth,Choco Coated Almonds,UK,14-Jun-23,6381,532,Delivered
Husein Augar,Orange Choco,Canada,14-Jun-23,1530,255,Delivered
Roddy Speechley,Choco Coated Almonds,India,14-Jun-23,2954.25,269,Delivered
Curtice Advani,Spicy Special Slims,UK,14-Jun-23,54,4,Delivered
Dotty Strutley,Smooth Silky Salty,India,14-Jun-23,544.5,46,Delivered
Kaine Padly,Drinking Coco,Canada,14-Jun-23,6237,693,Delivered
Dotty Strutley,Drinking Coco,UK,14-Jun-23,5366.25,597,Delivered
Beverie Moffet,Organic Choco Syrup,USA,15-Jun-23,18580.5,885,Delivered
Rafaelita Blaksland,Drinking Coco,Canada,15-Jun-23,4146.75,415,Delivered
Gigi Bohling,Choco Coated Almonds,India,15-Jun-23,882,63,Delivered
Andria Kimpton,Baker's Choco Chips,New Zealand,15-Jun-23,13459.5,673,Delivered
Kelci Walkden,Smooth Silky Salty,India,15-Jun-23,1176.75,118,Delivered
Marney O'Breen,99% Dark & Pure,UK,15-Jun-23,4803.75,253,Delivered
Dotty Strutley,Drinking Coco,USA,15-Jun-23,5298.75,408,Delivered
Dotty Strutley,Fruit & Nut Bars,USA,15-Jun-23,8232.75,295,Delivered
Kelci Walkden,After Nines,USA,15-Jun-23,6979.5,499,Delivered
Kelci Walkden,Mint Chip Choco,UK,15-Jun-23,5798.25,580,Cancelled
Barr Faughny,Baker's Choco Chips,UK,15-Jun-23,2223,112,Delivered
Jehu Rudeforth,Organic Choco Syrup,UK,15-Jun-23,10181.25,536,Delivered
Gunar Cockshoot,Peanut Butter Cubes,UK,15-Jun-23,6255,285,Delivered
Jan Morforth,Mint Chip Choco,Canada,15-Jun-23,3201.75,356,Delivered
Barr Faughny,50% Dark Bites,UK,15-Jun-23,7312.5,349,Delivered
Roddy Speechley,White Choc,Canada,15-Jun-23,10289.25,448,Delivered
Marney O'Breen,Choco Coated Almonds,UK,15-Jun-23,5037.75,336,Delivered
Barr Faughny,70% Dark Bites,India,16-Jun-23,1815.75,107,Delivered
Madelene Upcott,Smooth Silky Salty,India,16-Jun-23,13171.5,1098,Delivered
Dennison Crosswaite,Mint Chip Choco,India,16-Jun-23,6203.25,478,Delivered
Beverie Moffet,Orange Choco,USA,16-Jun-23,15808.5,1438,Delivered
Beverie Moffet,White Choc,USA,16-Jun-23,5852.25,293,Delivered
Barr Faughny,Smooth Silky Salty,India,16-Jun-23,5530.5,615,Delivered
Madelene Upcott,Fruit & Nut Bars,India,16-Jun-23,8163,327,Delivered
